昵称,id,学历,学校,学院,专业,经验,简介
Jerry King,58479fc88146df701a298e1c,博士生,西安交通大学,管理学院,Business Administation / Management Science,I'm loving suvey,
liuliuliu,5846a2818146df701a298de7,研究生,南理工,设传院,Arts and Literature,,
Zhdxyl,58477a64cdda85574260dd94,学生,暨南大学,环境与气候研究院,Environmental Sciences,,
青芥,58476c2ccdda85574260dd93,学生,西南交通大学,电气系,,,
毛忆婷,584659fdcdda85574260dd46,学生,浙江万里学院,万里学院商学院,Arts and Literature,疑病,无
Preston,584566c08146df701a298d4e,博士,江苏艾迪药业有限公司,新药研发部,Medicine,男，生物化学，博士,"2007年至2010年，北京理工大学生命学院，帕金森病新药的研究；
2010年至2014年，丰原药业，致力于心血管类、抗肿瘤新药的研发，以及氨基酸、维生素等食品添加剂的研发；
2014年至今，江苏艾迪药业有限公司，抗肿瘤、抗病毒类新药的研发"
Shinie Ma,584556c98146df701a298d4d,Master,SJTU,Management,,,
清影,5845494a8146df701a298d1a,学生,通大,物流,,在校大学生,
stephens_momo,584540188146df701a298d18,学生,天津师范大学,心理与行为研究院,Psychology,心理学学生和爱好者,
刘祎,58452566cdda85574260dd14,博士生,暨南大学,管理学院,Business Administation / Management Science,暨南大学博士研究生,
Marley Wong,58451db6cdda85574260dd12,student,Tongji University,School of Economics & Management,Business Administation / Management Science,我爱写论文，写论文使我快乐,Independent researcher of 4 papers.
heyanhuan,5845059ccdda85574260dd02,学生,湖南大学,工商管理,Business Administation / Management Science,研究生,弄
lixing,584506648146df701a298d01,学生,电子科技大学,经济与管理学院,Business Administation / Management Science,,
陈陈,5843cb718146df701a298c0e,学生,西南大学,文社院,Psychology,韧性与笃定,"本科 管理 
硕士 心理学"
杨双嘉,5843d7908146df701a298c0f,大学生,北京邮电大学,计算机学院,Computer and Information Science,,
杨开宇,584040d7864d47bb42ea5dac,硕士研究生,国立清华大学,计量财务金融研究所,Economics / Finance,"Master
Department of quantitive finance

National Tsing Hua University",
anrunying,5841a7eacdda85574260dcb9,博士生,北京理工大学,,Environmental Sciences,,
沐梓🐑,5842cbe2cdda85574260dcf6,学生,武汉大学,发展与教育心理学,Psychology,懒散用功的老学生,
HelenFaye,58427b068146df701a298bfb,学生,厦门大学,商学院,Business Administation / Management Science,企业管理研究生在读,
Ming,58423036cdda85574260dce4,学生,北京林业大学,林学院,Medicine,,
李霞,584155608146df701a298bf7,学生,中科院,沃顿商学院,Computer and Information Science,,
刘卓,5840cc4c864d47bb42ea5db3,学生,首都师范大学,教育学院,Psychology,应用心理学在读研究生~~~,
Sunmo,5840628d864d47bb42ea5db0,,,,Economics / Finance,,
凌波默,58404aba864d47bb42ea5dad,学生,中国科学技术信息研究所,信息资源中心,Social Sciences,,
啊哈哈哈xyy,584033a5864d47bb42ea5da6,学生,华东师范大学,认知与心理科学学院,Psychology,,
李岸轲,58401613cdda85574260dc7f,学生,湖南师范大学,教育科学学院,Psychology,湖南师范大学心理学研究生,关于城管调研作品参与挑战杯获全国三等奖
冯晨,583e8138a4d391461899f2ce,硕士,华东师范大学,经济与管理学部,Economics / Finance,统计学专业的学生,
101or99,583e6173a4d391461899f297,学生,浙江理工大学 ,经济管理学院,Business Administation / Management Science,市场营销专业，大学没学好理论，希望在这片灵活丰沃的土地上灌溉自己！,目前是苦于选毕业论文题目，想写出比较合格的论文来 
,583d738da4d391461899c812,教授,大学,财经,Economics,,
小鱼鱼,583d6e6da4d391461899c80f,博士,北京大学,金融,Economics / Finance,金融学,金融
艾哩哩,583d3835a4d391461899c7a7,教师,启明长源,教务部,Education,儿童教育工作者，儿童心理学爱好者,有7年的婴幼儿早期教育工作经验，虽然在学校没有学过相关的专业，目前在中科院心理所儿童心理学在职硕士在读，去美国参加过多次早教学术分享会，有较丰富的婴幼儿早期教育经验
邱阿姝,583bf1eab72db42c18dcb956,PhD,THU,SEM,Business Administation / Management Science,,
Poppy,583beec0b72db42c18dcb953,学生,华中科技大学 ,管理学院,Business Administation / Management Science,一只想要读博的研究生小白 ,
Hye,583be579b72db42c18dcb952,博士生,重庆大学,经济与工商管理学院,Arts and Literature,Dream it possible,
邢培振,583ba8d2b72db42c18dcb94d,硕士生,中国航空航天大学,,Computer and Information Science,,
L.m,583b83f0a4d391461899c70d,学生,陕西师范大学,心理学院,,心理学专业大二,
MariaHe,583a87e4a4d391461899c665,研究生在读,上海大学,通信与信息工程学院,Electrical and Electronic Engineering,RF microwave millimeter-wave,研究生在读
江山投资,583a6bbeb72db42c18dcb8c1,负责人,江山投资有限公司,负责人,Economics / Finance,专注于宏观对冲,
zongzong,583a6ed2b72db42c18dcb8c3,student,anu 硕士在读,college of business and economics,Economics / Finance,毕业求一份工作，有没有北上广大佬介绍啊,none
老赵,58395f88b72db42c18dcb7b0,学生,西南大学,心理学部,Psychology,心理在读生,
赵剑,583802a0a4d391461899c50e,学生,西南财经大学,统计学院,Business Administation / Management Science,运动论文单身狗,
胡天霖,5837eeb3b72db42c18dcb662,学生,广东外语外贸大学,经济贸易学院,Electrical and Electronic Engineering,公共经济学学生,
seven,5837c1d1a4d391461899c4f4,学生,厦门大学,新闻传播学院,Psychology,可怜的广告狗,
Ryan奇,58372cd5b72db42c18dcb658,博士生,复旦大学,经济学院,,科研小兵,
华雪漫天,5836ebbea4d391461899c387,学生,兰州大学,兰州大学经济学院,Economics,,
李晓敏,5836a581a4d391461899c28e,学生,南开大学,经济学院,Economics / Finance,学生,养老金替代率的影响因素，农村留守老人问题研究，外资村镇银行选址策略研究
刘晋,5836900ab72db42c18dcb304,在读硕士,云南财经大学,商学院,Humanities,,
张娜,5836929ba4d391461899c147,研究生,发展与教育心理学,教师教育学院,Psychology,在校研究生,
nxdxlhy,58368130b72db42c18dcb302,副教授,大学,经济学院,Economics / Finance,,
Brennanfan,5835d1d5b72db42c18dcafbf,研究生,二外,英语,Linguistics,Major in english ,文体学
Raymond,58354d0da4d391461899bb42,博士生,清华大学,经管学院,Economics / Finance,,
顾雨纯,58354cd0a4d391461899bb41,学生,北科天院,国贸,Economics,弥留之际,
乐欢喜,58353b07b72db42c18dcaebb,硕士在读,华南师范大学,心理学院,Psychology,华南师范大学心理学硕士在读，研究兴趣为道德心理学,
潘錡宝,58346c69b72db42c18dcade6,无,无,无,无,无,无
公子小氚,58342186b72db42c18dcaddb,学生,Jxufe,统计学院,Computer and Information Science,统计学研究生在读,
罗佳,5833af73a4d391461899b61f,学生,中南财经政法大学,外语学院,Arts and Literature,,
lixiangwei,5832e795b72db42c18dcab2f,doctoral student,hunau,economic college,Economics,agricultural economic research,
肖园园,5832eaeab72db42c18dcab32,在读研究生,华南师范大学,心理学院,Psychology,,
徐徐,5832d97eb72db42c18dcab2c,硕士研究生,上海大学,管理学院,Economics,,
wei fengjun,5832e31cb72db42c18dcab2e,doctor,henan university of science and technology,packaging engineer,Chemistry,a teacher,haust
林晓白,5832d383b72db42c18dcab29,学生,中央财经大学,会计学院,Economics / Finance,迷则择醒事 醒则择事而行,
曹晓哲,5832b04ea4d391461899b60a,学生,东财,经济学院,Economics,在读研究生,
马恩雨,5832a84fb72db42c18dcab22,学生,东北财经大学,工商管理,Business Administation / Management Science,,
Tong,583299e8a4d391461899b608,研究生,重庆医科大学,公共卫生与管理学院,Arts and Literature,未来可期,
Archian,583269a9a4d391461899b5fe,PHd,Umich,Econ,,,
kallen633,58324df5a4d391461899b5fc,研究生,梨花女大,经营大学院,Business Administation / Management Science,研一留学狗,
克朵克朵,5831bda8b72db42c18dcab18,学生,上外贸,法学院,Business Administation / Management Science,,
heyixuan,5831ad4fa4d391461899b5f5,学生,湖南大学,工商管理学院,Business Administation / Management Science,一个爱自己、爱知识、爱生活的乖乖女^_^,
胡涛,58316753b72db42c18dcab01,学生,中国环境科学研究院,城市与区域生态保护创新基地,Environmental Sciences,喜欢科研，喜欢阅读，喜欢思考，喜欢健身，喜欢舞蹈，喜欢书法，喜欢国学，喜欢交流，喜欢旅行。。。。。路在脚下，慢慢前行，终成大器！,
陈茜,58312a1aa4d391461899b5e7,学生,浙江工业大学,经贸管理学院,Business Administation / Management Science,,
Vishnugy,5831171aa4d391461899b5e4,学生,河北工业大学,人文与法律学院,Law,法学专业本科大三,法学本科大三
ruvin,58305b29b72db42c18dcaa56,硕士研究生,华东师范大学,教育学部,Education,,
kimberly,582fc160b72db42c18dca9d8,学生,北京师范大学,心理学院,Psychology,心理学极端爱好者,
Goth33,582ef8f3a4d391461899b59e,博士生,中国人民大学,财政金融学院,Economics / Finance,金融学在读,
慢鱼,582dce09b72db42c18dca9a8,学生,湖北科技学院,基础医学院,Medicine,有所期待，有所热爱,未知
Thomas,582d83bba4d391461899b50b,学生,北京大学,写代码学院,Computer and Information Science,,
Amy.Yang,582d68b5a4d391461899b503,本科生,中国传媒大学,新闻学院,Social Sciences,新闻传播学在读，个人对经济，社会心理学很感兴趣；爱好音乐，电影和各种高逼格的艺术，更爱与身边的每个你分享~,"大学生创新训练计划《农村丧葬文化的记录与重现》
白岩松社会调查《精神病患者的生存现状分析及反思》
中国传媒大学科技与创新大赛
Nielsen项目研究成果：《凤凰两会》《新浪汽车》《MOOC用户研究》《赫斯特女性汽车使用情况》《网易奥运》《去哪儿网用户研究》
中国人寿：汽车行业，教育，医疗行业
目前关注数据科学领域和高科技发展：data visualization ; Robot(AI);VR AR, Machine Learing"
青翠,582d38ccb72db42c18dca91a,学生,湖南师范大学,教育与科学学院,Psychology,湖南师范大学研究生，发展与教育方向，good good study day day up,研一中，希望可以不断丰富。
李韵,582c7f55a4d391461899b4f6,学生,湖南大学,法学院,Law,大学生,
康茜,582bc57cb72db42c18dca895,学生,石河子大学,经济与管理学院,Economics,林业经济管理小白,
Hessen Yang,582a8f39a4d391461899b4a5,博士,暨南大学,暨南大学管理学院,Business Administation / Management Science,"or,om",
米米湘儿,582a9fa9a4d391461899b4a7,学生,电气工程及其自动化,合肥师范学院,Physics,在复杂的世界里简单就好,木有
bellum,582995226e9e181117ffeab7,学生,浙江理工大学,经济与管理学院,,Logistics and Data analysis,
刘诗诗,5829d7c5b72db42c18dca80a,学生,大连医科大学,药学院,Chemistry,,
哈伦,5829719a6e9e181117ffeaa1,教师,湖北经济学院,信息管理与统计学院,Economics,统计学教师,
Duke,58293eca7c5859e23d743398,博士,中央财经大学,,Economics / Finance,经济哲学、经济史、人力资本、物质资本、劳动经济学,"大型调查数据项目管理
调查数据清理与研究
物质资本与人力资本数据统计核算
python量化回测"
lqc256,582701ee6e9e181117ffea61,教师,YUFE,商学院,Business Administation / Management Science,,
王子辛,582862707c5859e23d743326,学生,苏州大学,应用心理学,Psychology,心理学在读生,
叨叨喵,5826856b7c5859e23d743312,Dr,xx大学,管理学院,Psychology,爱心理，爱OB，科普改变生活~ ,
Kelly,5825b7147c5859e23d7432fc,博士生,上海财经大学,国际工商管理学院,Business Administation / Management Science,,
十石,58273e067c5859e23d743321,学生,湖南大学,工商管理学院,Business Administation / Management Science,,
葵小亦,5826a3307c5859e23d743315,传播心理学硕士研究生,中国传媒大学,新闻学院,Social Sciences,传播心理学｜传媒行业观察员｜音乐狂人｜瑜伽教练,基于新媒体时代背景，专注研究心理学在传播活动中的作用和特点，同时关注新媒体发展对人的认知模式、情绪启动、思维结构等方式的影响。
可口可乐,582577907c5859e23d7432fb,博士生,天津大学,管理与经济学部,Business Administation / Management Science,我就是我,
LIU CHIHWEI,582568b16e9e181117ffea26,讲师,南京中医药大学,信息管理系,Computer and Information Science,信息管理、信息系统、信息计量；,
beisevivi,582463d97c5859e23d7432e8,博士生,**大学,管理学院,Business Administation / Management Science,会计学博士,
胡珀,582467006e9e181117ffe9f4,学生,华中师范大学,心理学院,Psychology,不忘初心，方得始终！,目前是本科生，研究经历比较浅，只有学校里的两个科研立项，一个关于恐怖视频中恐怖情绪的研究马上要结项了，另一个关于抑郁症的刚开始。
哈喇子掉一地,5823dfe97c5859e23d7432de,学生,南华大学,经济管理学院,,学生，,
manxuebaihe,5823cb9e6e9e181117ffe9e7,高校研究人员,上海财经大学,公共经济与管理学院,Economics,治国理政、治国理财,
echo qin,582343ba7c5859e23d7432da,博士生,cufe,site,Economics / Finance,,
Elsa,58238a9e7c5859e23d7432dd,学生,扬州大学,土建学院,Design,I 'm superwoman.,无
朱迎辉,5821ee467c5859e23d7432c0,学生,南开大学,南开大学商学院,Business Administation / Management Science,学渣一名，目前就读于南开大学商学院，企业管理专业硕士研究生生。希望能跟随大神学点学术知识。,暂无
CCmissing,5821c8d86e9e181117ffe98f,学会说呢过,陕西师范大学,心理学院,Psychology,心理学初学者、。。。,
Alllllllyssa,5821d1cb6e9e181117ffe990,研究生,大学,经济管理学院,Business Administation / Management Science,小白,
刘诗诗,5821ee267c5859e23d7432bf,学生,大连医科大学,药学院,Materials Science,,
Chandler_Han,582182526e9e181117ffe983,学生,北京邮电大学,电子工程学院,Electrical and Electronic Engineering,无限自组网 AdHoc  Mesh 研究,目前再做自组网方面的一些研究
王涓涓,582196f96e9e181117ffe986,研究生在读,曲师大,,Biological Sciences,曲师大心理学研究生在读，热爱心理，迷恋心理咨询,
zzy5111398,58203b7b6e9e181117ffe96b,研究生,东南大学,经济管理学院,Economics / Finance,A fresh for Model of finance,
安之素若,581fec7c6e9e181117ffe960,学生,天津职业技术师范大学,职业教育学院,Psychology,心理专业学生,
商文翔,582031857c5859e23d743209,学生,长安大学,工程机械学院,Engineering,学习能力强，善于解决科学研究和工程实践中遇到的实际问题，做到学以致用，具有丰富的工程经验和良好的工程素养；性格开朗，心态积极乐观，有较强的协作能力和团队意识，适应能力强，能较快地融入新的工作环境，责任感强，诚实守信。,某型号沥青搅拌设备除尘器试验优化研究，针对某型号沥青搅拌设备除尘设备进行整改设计，完成前、中、后期整改方案评审，根据实际生产和试验中出现的问题提出合理性改进方案，对设备进行结构优化。
Lucifer,581f54317c5859e23d7431d8,PHD,厦门大学,管理学院,Economics / Finance,厦大财务学博士在读！～～BF、M&A、CS……,
杨圣之,581ec7407c5859e23d743147,学生,中国人民大学,中国人民大学商学院,Economics / Finance,"勤能补拙是良训。
争取日均阅读一篇paper。
争取日均记录一次时间消耗。
争取偶尔记录自己学SAS和stata的过程
",
SummerLEE,581de9d07c5859e23d74313e,硕士僧,北京师范大学,心理学院,Psychology,在北师大研究大脑的心理学在读硕士,
小太阳君,581c7a4d4412c02a1781e6f3,硕士,上海对外经贸大学,工商管理学院,Business Administation / Management Science,爬行在消费者行为路上,
如余,581c055c73b63a0a412f5f36,硕士研究生,山西财经大学,经济学院,Economics,,
X洛克,581be711f2b603244188d713,学生,山东科技大学,材料科学与工程,Materials Science,材料狗,
王威,581b42eff2b603244188d712,学生,北京理工大学,机械与车辆学院,Engineering,一个兴趣广泛的非典型工科男,科研小白
huyongquan,581af6daf2b603244188d70e,副教授,浙江工商大学,工商管理学院,Arts and Literature,AMJ,技术出现有规律
Jamin,581af11c73b63a0a412f5f1e,学生,西北工业大学,材料学院,Materials Science,,
Kalinda Yang,581aebd073b63a0a412f5f1d,在读博士生,,管理与经济学部,Arts and Literature,No pains no gains,
刘思岐,581aa7b973b63a0a412f5f19,学生,西南财经大学,金融学院,Economics / Finance,正在学习金融学的金融研究生,
锐锋,581a569a73b63a0a412f5f09,学生,英国某大学,商学院,Economics / Finance,Reformist经济学人,
酒红酒,5819ffda73b63a0a412f5f05,学生,宁夏大学,经济管理学院,Business Administation / Management Science,,
鲁西西爱沙拉酱,5819c901f2b603244188d6e3,研究所,华中师范大学,心理学院,Psychology,修炼数据分析，不务正业的人格心理研究所,
陈cici,58196256f2b603244188d6dc,博士生,重庆大学,经济与工商管理学院,Business Administation / Management Science,Enjoy the present.,
雷婷婷,58183f34f2b603244188d6b9,学生,山东大学,商学院,Business Administation / Management Science,山大硕士在读,
小林sun,5818aa8c73b63a0a412f5ebb,硕士,南开大学,周恩来政府管理学院,Psychology,一个人应该活的是自己并且干净。,
罗姑娘,5818565473b63a0a412f5e9b,研究生,深圳大学,管理学院,Business Administation / Management Science,深圳大学 人力资源管理研究方向,
celiakkk,58180085f2b603244188d6b7,学生,华东师范大学,人文社会科学学院,Arts and Literature,文艺学狗,
Phoebus Qi,5817f200f2b603244188d6b5,研究生,暨南大学,管理学院应用心理学,Psychology,"营销达人&心理学达人蜕变ing~~~心理学研究生一枚，爱学术更爱实践的耿直率性行动派。运动小达人：网球、棒垒球、乒乓球。
Stay Foolish, Stay young.
",目前还没有，因为刚研一新生
森林同志,58173cb573b63a0a412f5e1a,,,厦门某高校,Social Sciences,青春的光辉，理想的钥匙，生命的意义，乃至人类的生存、发展全包含在这两个字之中——奋斗！只有奋斗，才能治愈过去的创伤；只有奋斗，才是我们民族的希望和光明所在。,
王诗卉,58171665f2b603244188d639,学生,北京大学,国家发展研究院,Business Administation / Management Science,用心生活的小公举,
林寻,5816a7ea73b63a0a412f5e0f,学生,北师,心理学院,Psychology,,
朱家伟,581602c1f2b603244188d632,学生,北京大学,光华管理,,wieiwieiiew,
刘蚊厌Miranda,581466cdf2b603244188d57a,研究生,中国科学院,心理研究所,Psychology,迟早入博坑的心理学研究僧,
Emily,5814034673b63a0a412f5cca,Junior Falculty,Beijing University of Posts and Telecommunications,School of Economics and Management,Business Administation / Management Science,,
经济学渣,581386c8f2b603244188d562,学生,东国大学,Marketing,Design,,
Shuang Gao,5813133f73b63a0a412f5c86,讲师,北京师范大学,天文系,Astronomy / Astrophysics / Space Science,"Astronomer, lecturer at BNU","德国海德堡大学，自然科学博士，计算天文研究所，2008——2011
中科院国家天文台，博士后，2011——2014
北京师范大学，讲师，2014——现在"
Like Chun,581221fcf2b603244188d49c,,Peking University,Guanghua School of Management,Linguistics,Changing major from economics to linguistics,
方剂哥,5811959df2b603244188d46c,博士,高医专,基础医学院,Medicine,中医药学者，《名医验案》主编。,中医药开发和《四大经典》研究。
Alexis Song,581183c473b63a0a412f5c56,博士生,浙江大学,管理学院,,"School of Management, Zhejiang University",
泥根兒,58117f2673b63a0a412f5c55,研究僧,华南师范大学,心理学院,Psychology,知识三千，哪敢独爱一瓢？,
大泡芙,581157cff2b603244188d45f,博士生,哈工大,,Arts and Literature,～无,
櫻井　萌え子,5811714cf2b603244188d469,学生,北京师范大学,心理学院,Psychology,,
鱼小盒,581051e573b63a0a412f5bf8,学生,上海交通大学,安泰经济与管理学院,Business Administation / Management Science,消费行为学,学生
Jiawen LI,5810170573b63a0a412f5ba3,Undergraduate,Pittsburg State University,"Department of Economics, Finance, and Banking",Economics / Finance,,
苏钱宏,580e26adf2b603244188d33f,学生,山东大学,管理学院,Business Administation / Management Science,山东大学 管理学院 企业管理硕士,
kevin,580ed05bf2b603244188d34b,学生,南京大学,商学院,Business Administation / Management Science,,
Sunnie.,580f676d73b63a0a412f5b93,学生,辽宁师范大学,心理学院,Psychology,心理学妹子,
zhaohui,580ef3a573b63a0a412f5b86,学生,中国人民大学,信息学院,Computer and Information Science,,
YS,580f1caef2b603244188d34e,学生,北京大学,心理与认知科学学院,Psychology,"Master student @ PKU.
Major in Psychology.",调节定向影响工作重塑：工作不安全感的调节作用
charles,580ed91273b63a0a412f5b84,硕士程序员,益海嘉里,信息技术,Computer and Information Science,master of computer science,金融市场量化研究，做策略，回测。计算机机器学习方面，算法实现及优化。
吴天宝,580dedb273b63a0a412f5b6d,研究生,华中农业大学,动科院,Biological Sciences,始于颜值，终于才华。,主要做基因编辑，基因敲除。
풍일,580dd777f2b603244188d339,硕士,忠北大学校,经营情报,Social Sciences,经营情报学 硕士在读（韩国留学）,
符书香,580c7cd46ff161627d20f024,学生,暨南大学,管理学院,Psychology,好好学习，天天向上,
D~hhhh,580d989473b63a0a412f5b67,学生,北京大学,中文系,Arts and Literature,学术新手,暂无
许昕,580b7c6619c9197c7d1a36c9,研究生在读,韩国 弘益大学,经营大学院,,弘益大学 经营大学院,
Chan Me,580b383e19c9197c7d1a36c3,学生,湖南农业大学,商学院,Economics,"
Data statistics and data analysis",
文井水,580affca6ff161627d20efef,学生,中国海洋大学,经济学院,Economics / Finance,Wuzi-top caveman,
微风,580af79519c9197c7d1a36b5,学生,辽宁师范大学,心理学院,Psychology,微风～,
碎南瓜,580a5efe6ff161627d20efeb,学生,广东外语外贸大学,金融学院,Economics / Finance,文不能测字 武不能防身,
叶春秀,580a4c286ff161627d20efea,硕士研究生,暨南大学,管理学院,Business Administation / Management Science,,
刘初一,5809d8366ff161627d20ef78,学生,宁夏大学,教育学院,Psychology,一名大二应用心理学学生,未有
唯美真,5809f3a06ff161627d20ef7a,医学生,第三军医大学,临床医学,Medicine,"积极、努力、
",
木木,58098b8f6ff161627d20ef68,学生,宁夏大学,教育学院,,╮(╯▽╰)╭,
王萌,5809d43d6ff161627d20ef6f,金融硕士,湖南大学,金融与统计学院,Economics / Finance,念念不忘，必有回响,
李亚楠,5809be0a19c9197c7d1a35b7,学生,厦门大学,厦门大学经济学院,Economics,,
,58099f8e19c9197c7d1a354e,研究生,宁波大学,教师教育学院，心理学研究所,Psychology,,
Sarah,58098cba6ff161627d20ef69,学生,山东大学,哲学与社会发展学院,Psychology,,
marymxl,5808f4806ff161627d20ef63,associate professor,Seattle U,Business School,Business Administation / Management Science,I am a visiting scholar in Seattle University now,"graduated from HIT for my PhD degree and major was manufacturing strategy. had one year visiting scholar experience in UTS and major was manufacturing strategy.  at present, I am a visiting scholar in SeattleU and major is  innovation& entrepreneurship."
下大雨爱美丽,58089fa26ff161627d20ef61,研究生,武汉大学,信息管理学院,Economics,爱一切有爱的人和事,"研究团队为武汉大学信息资源管理中心，研究过在线教育、知识管理、舆情、环保产品消费者行为，采用的方法有网络分析、情感分析、扎根理论和结构方程模型，目前比较感兴趣的是信息行为和营销学。
已在《情报杂志》、《科学学研究》、《信息资源管理学报》上发表文章，同时还有一些中、英文章没有见刊。"
刘盛,5808273919c9197c7d1a3537,教师,江西师范大学,教育学院,Education,学术民工一枚,
文盲Q老师,5808562219c9197c7d1a3541,Lecturer,Southwest University,Department of Business and Trade,Business Administation / Management Science,管理学硕士，高校青椒一枚。学霸心，学渣命。研究能力不行，但科研路上死撑。,"Starting from social work.My Early research was focus on community work on the inhibition of domestic violence.The current research interests are supportive systems for grassroots non-governmental organizations in China, in particular human behavior in such organizations.Apart from this,I have a hyper interest in consumer behavior."
Saturn,580790cf19c9197c7d1a3530,学生,电子科技大学,计算机学院,Computer and Information Science,或者,
Arrietty,58078dea19c9197c7d1a352e,硕士生,苏州大学,教育学院,Psychology,心理学爱好者,
chengcheng1314,5807701319c9197c7d1a352c,硕士,中国石油大学,,Earth Sciences,天空没有我的痕迹，但菜鸟已经飞过,
bury_pen,58071df46ff161627d20ef04,,,,Arts and Literature,Android developer,
XUEFEI.LUO,580718ef19c9197c7d1a3524,硕士生,庆熙大学,经营学院,Arts and Literature,庆熙大学  市场营销专业硕士在读  消费者行为学研究初步者,
银朵儿,5806e49e19c9197c7d1a3508,博士研究生,西安交通大学,管理学院,Business Administation / Management Science,不求奢华，但求闲适。,
汪雷,58071b3819c9197c7d1a3525,学生,西安电子科技大学,电子工程学院,Computer and Information Science,在读硕士，机器学习方向,
Heart Garfield,5806f10719c9197c7d1a3509,博士生,武汉大学,经济管理学院,Business Administation / Management Science,"I, a crazing researcher, in order to reveal the essence of things, want to achieve my personal value finally!","1. 供应链IT价值实现
2. 品牌信任
3. 品牌国际化"
旺,58056f6319c9197c7d1a345d,学生,中医药,人文,Psychology,爱心理,
sue,5806dc836ff161627d20eee5,博士生,浙江大学,管理学院,Social Sciences,旅游管理直博生在读,
LIjing  Zhao,5806390719c9197c7d1a34f2,博士生,南京大学,商学院,Social Sciences,Phd in Nanjing University,
凯方,58061ad719c9197c7d1a3483,博士生,北京航空航天大学,北京航空航天大学,Business Administation / Management Science,管理科学与工程专业，研究方向：复杂网络对产业共生演化的影响，研究兴趣：产业生态，循环经济，社会网络分析，案例分析，复杂系统，复杂网络,
宋禄霖,5805c1c26ff161627d20ee3d,学生,中央财经大学,会计学院,Economics / Finance,,
张力,5804cb986ff161627d20ee2b,学生,武汉大学,信息管理学院,Arts and Literature,"武汉大学研究生在读，消极而上进，努力克服不学无术。
喜欢有趣的人和事。
个人微信：hihiHubery。",
黄璐,5804f83719c9197c7d1a3458,学生,武汉大学,马克思主义学院,Psychology,本科武理英语，研究生在读武大心理学,“创新杯”：湖北省高校师生互动现状及建议
丽丽,5804808a6ff161627d20edbc,学生,河南大学,经济学院,Economics,爱学习，爱劳动,多看一些经济类文章
张增杰,5804eedd6ff161627d20ee33,博士生,慕尼黑工业大学,电子信息工程系,Electrical and Electronic Engineering,工科DIORS的身体里一朵文艺的小火苗,
Queena Tang,5804af7f19c9197c7d1a33da,博士生,华南理工大学,工商管理学院,Business Administation / Management Science,,
Robert Lee,5804836a6ff161627d20edbd,副研究员,内蒙古管理现代化研究中心,内蒙古工业大学,Economics,产业演化史、能源经济与政策,
舒首立,5804622119c9197c7d1a33d5,讲师,安徽师范大学,教育科学学院,Psychology,人格方向。研究中国文化中的人格现象，目前研究儒家自尊人格与考试作弊的关系。,少，见不得人。
于球球,5804732f19c9197c7d1a33d6,学生,天际线载人飞行器,北京沃德银宝科技发展有限公司,Astronomy / Astrophysics / Space Science,航空航天大牛包围下的小白一枚~收集大牛的知识结晶~普度众生~哈哈哈哈哈,没什么。。。我就是大牛的搬运工
summer,58038eb16ff161627d20ed41,学生,武汉大学,生命科学学院,Biological Sciences,生物本科，辅修哲学，科技史准研究生,
liuyongjun,580381df6ff161627d20ed40,副教授,CAU,经管学院,Economics,大学教师,
毕然,5802afdf6ff161627d20eccf,phD student,Harbin medical university, Public health ,Biological Sciences,学霸世界里的学渣一枚，愿终修得正果。,
张家骏,5800dd7d6ff161627d20ec0b,硕士生,SASS,经济研究所,Economics,Banzhaner IN SASS,学无止境，唯有不懈努力
Gloria,57ff95156ff161627d20eb7c,学生,辽宁大学,商学院,Business Administation / Management Science,a girl,
Chrisch,5800ba3c19c9197c7d1a337a,高级工程师,企业研究所,光伏应用集团,Engineering,从事新能源行业，对新技术热忱关注。是一个学习者，实践者。,从事新能源应用，光伏系统设计，验证研究；以及新能源应用与环境的关系等。
张凯,57ffa78719c9197c7d1a3294,研究生,北京大学,光华管理学院,Economics,经济学学渣,中国大学生物理学术竞赛
康丽丽,5800216f19c9197c7d1a3296,常任轨,上海立信会计金融学院,,Economics,"上海立信会计金融学院
研究兴趣：人力资本、创新、公司治理",
Cindy,57ff7b7819c9197c7d1a3293,博士生,吉林大学,管理学院,Business Administation / Management Science,管理学科研究生，研究创业管理,
许木,57ff65806ff161627d20eb7a,学生,武汉工程大学,化学与环境工程学院,Chemistry,,
李南,57ff5c066ff161627d20eb79,学生,武汉大学,经济与管理学院,Economics,,
求道者,57ff3c9819c9197c7d1a3291,研究生,河南理工大学,测绘与国土信息工程学院,Earth Sciences,公共管理研究生，二级学科土地资源管理，主要研究方向土地经济与土地制度，常用软件arcgis。,"参与过国家自然基金、教育部人文社科基金、河南省社科基金等课题研究，文章发表在《资源科学》、《资源开发与市场》等期刊。
"
杨波,57fddda119c9197c7d1a321f,学生,中国人民大学,心理学系,Psychology,,
李婧,57fc784a19c9197c7d1a31df,研究生,中南财经政法大学,工商管理学院,,,
JoeHuang,57fc97a06ff161627d20e978,学生,中科院,心理所,Psychology,团队、组织、管理,
思雨,57fc847d6ff161627d20e975,研究生,云南财经大学,商学院,Psychology,科研新虫一枚,
Joyce,57fc4ba819c9197c7d1a31db,博士生,中国人民大学,国际学院,Economics / Finance,和论文死磕的在读博士,研究生、博士研究生一路金融学研究中
青篱,57fb40e919c9197c7d1a31b9,研究僧,西南大学,心理学部,Psychology,心理学研究僧,入门
